Fitness: 170107, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 2 Dissmissed: 1
Fitness: 146191, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 7, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 156993, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 171953, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 1
Fitness: 152888, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 165464, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 176586, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 8, RoundsPolygon: 2 Dissmissed: 1
Fitness: 165489, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 7, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 176248, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 1 Dissmissed: 1
Fitness: 145820, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 7, Me: 1, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 1
Fitness: 167915, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 171305, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 3 Dissmissed: 1
Fitness: 174288, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 14, RoundsPolygon: 2 Dissmissed: 1
